Date : 2020-03-06 14:54:19
Directory : c:\Users\tadak\source\repos\XYZ-To-Do
Total : 533 files,  64140 codes, 4942 comments, 7048 blanks, all 76130 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\switch-hour\switch-hour.component.html                                                                                                          | HTML               |         11 |          3 |          0 |         14 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\switch-hour\switch-hour.component.spec.ts                                                                                                       | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\switch-hour\switch-hour.component.ts                                                                                                            | TypeScript         |        180 |          4 |         32 |        216 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\ui-tools.module.ts                                                                                                                              | TypeScript         |         23 |          0 |          2 |         25 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\ui-tools\util\abstract-value-accessor.ts                                                                                                                 | TypeScript         |         20 |         21 |          6 |         47 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\arc.svg                                                                                                                                               | XML                |         13 |          1 |          1 |         15 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\archieve.svg                                                                                                                                          | XML                |        109 |          1 |          1 |        111 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\brainstorm.svg                                                                                                                                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\cancel.svg                                                                                                                                            | XML                |          2 |          0 |          1 |          3 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\closed-envelope.svg                                                                                                                                   | XML                |         22 |          0 |         16 |         38 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\comment-note.svg                                                                                                                                      | XML                |         20 |          1 |          1 |         22 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\comment-noteBlue.svg                                                                                                                                  | XML                |         20 |          1 |          1 |         22 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\deArc.svg                                                                                                                                             | XML                |         62 |          1 |          1 |         64 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\deArc2.svg                                                                                                                                            | XML                |          8 |          0 |          1 |          9 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\edit.svg                                                                                                                                              | XML                |         35 |          0 |         16 |         51 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\emoji\dizzy.svg                                                                                                                                       | XML                |         69 |          1 |          1 |         71 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\gear.svg                                                                                                                                              | XML                |         40 |          1 |          1 |         42 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\google-chrome-1.svg                                                                                                                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\google-play-icon.svg                                                                                                                                  | XML                |        157 |          1 |          5 |        163 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\group.svg                                                                                                                                             | XML                |         17 |          1 |          1 |         19 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\logo.svg                                                                                                                                              | XML                |         42 |          1 |          1 |         44 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\more.svg                                                                                                                                              | XML                |         23 |          0 |         16 |         39 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\more2.svg                                                                                                                                             | XML                |         21 |          0 |         16 |         37 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\moveHead1.svg                                                                                                                                         | XML                |         48 |          1 |          1 |         50 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\moveHead2.svg                                                                                                                                         | XML                |         52 |          1 |          1 |         54 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\moveHeadX.svg                                                                                                                                         | XML                |         36 |          1 |          1 |         38 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\pastToDos.svg                                                                                                                                         | XML                |         13 |          1 |          1 |         15 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\pastToDos2.svg                                                                                                                                        | XML                |         14 |          1 |          1 |         16 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\pm.svg                                                                                                                                                | XML                |         79 |          1 |          1 |         81 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\pwa-app.svg                                                                                                                                           | XML                |          9 |          0 |          0 |          9 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\remove.svg                                                                                                                                            | XML                |         40 |          1 |          1 |         42 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\schedule.svg                                                                                                                                          | XML                |         42 |          1 |          1 |         44 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\share.svg                                                                                                                                             | XML                |         43 |          1 |          1 |         45 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\share2.svg                                                                                                                                            | XML                |        102 |          1 |          9 |        112 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\tickEmail.svg                                                                                                                                         | XML                |         17 |          1 |          2 |         20 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\time-left.svg                                                                                                                                         | XML                |         76 |          1 |          1 |         78 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\untickEmail.svg                                                                                                                                       | XML                |         13 |          1 |          2 |         16 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\untickEmail2.svg                                                                                                                                      | XML                |         17 |          1 |          4 |         22 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\upload2.svg                                                                                                                                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\upload4.svg                                                                                                                                           | XML                |         42 |          1 |          1 |         44 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\upload6.svg                                                                                                                                           | XML                |         45 |          1 |          1 |         47 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\assets\upload7.svg                                                                                                                                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\environments\environment.prod.ts                                                                                                                             | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\environments\environment.ts                                                                                                                                  | TypeScript         |          3 |         11 |          3 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\index.html                                                                                                                                                   | HTML               |         58 |          5 |         21 |         84 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\APP_DATE_FORMATS.ts                                                                                                                           | TypeScript         |         12 |          0 |          0 |         12 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\back-end-server.ts                                                                                                                            | TypeScript         |          1 |          6 |          1 |          8 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\base64-helpers.ts                                                                                                                             | TypeScript         |         10 |          1 |          1 |         12 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\custom-NgbDate-parser-formatter.ts                                                                                                            | TypeScript         |         52 |          6 |          8 |         66 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\error-codes.enum.ts                                                                                                                           | TypeScript         |          7 |          8 |          3 |         18 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\front-end-server.ts                                                                                                                           | TypeScript         |          0 |          3 |          3 |          6 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\google-captcha.ts                                                                                                                             | TypeScript         |          4 |          7 |          6 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\interceptor.ts                                                                                                                                | TypeScript         |         14 |          2 |          5 |         21 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\my-date-adapter.ts                                                                                                                            | TypeScript         |         27 |          9 |         11 |         47 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\page-sizes.ts                                                                                                                                 | TypeScript         |         12 |          1 |         10 |         23 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\pipes\humanizer.pipe.spec.ts                                                                                                                  | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\pipes\humanizer.pipe.ts                                                                                                                       | TypeScript         |         83 |         17 |         12 |        112 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\pipes\pipes.module.ts                                                                                                                         | TypeScript         |         12 |          0 |          2 |         14 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\pipes\replace-emojis.pipe.ts                                                                                                                  | TypeScript         |        135 |         51 |         26 |        212 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\pipes\sort-by-date-time.pipe.spec.ts                                                                                                          | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\pipes\sort-by-date-time.pipe.ts                                                                                                               | TypeScript         |         17 |          5 |          4 |         26 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\project-privacy-modes.ts                                                                                                                      | TypeScript         |          7 |          1 |          0 |          8 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\infrastructure\xyzeki-datetime-infra.ts                                                                                                                      | TypeScript         |         80 |          6 |         31 |        117 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\karma.conf.js                                                                                                                                                | JavaScript         |         29 |          2 |          2 |         33 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\logo.svg                                                                                                                                                     | XML                |         42 |          1 |          1 |         44 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\main.ts                                                                                                                                                      | TypeScript         |          8 |         10 |         10 |         28 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\manifest.json                                                                                                                                                | JSON               |         52 |          0 |          1 |         53 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\manifestOriginal.json                                                                                                                                        | JSON               |         51 |          0 |          0 |         51 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\ngsw-config.json                                                                                                                                             | JSON               |         12 |         18 |          0 |         30 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\polyfills.ts                                                                                                                                                 | TypeScript         |          1 |         55 |          8 |         64 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\styles.css                                                                                                                                                   | CSS                |        474 |         45 |        111 |        630 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\test.ts                                                                                                                                                      | TypeScript         |         13 |          4 |          4 |         21 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\tsconfig.app.json                                                                                                                                            | JSON               |          9 |          3 |          0 |         12 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\tsconfig.spec.json                                                                                                                                           | JSON               |         18 |          0 |          1 |         19 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\tslint.json                                                                                                                                                  | JSON               |         17 |          0 |          1 |         18 |
| c:\Users\tadak\source\repos\XYZ-To-Do\tsconfig.json                                                                                                                                                    | JSON               |         22 |          0 |          1 |         23 |
| c:\Users\tadak\source\repos\XYZ-To-Do\tslint.json                                                                                                                                                      | JSON               |         75 |          0 |          1 |         76 |
| Total                                                                                                                                                                                                  |                    |     64,140 |      4,942 |      7,048 |     76,130 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
